ES;EN
carbohidratos;carbohydrate
sacarosa;sucrose
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides;vitamin A retinol equiv from retinol and carotenoid activities
Vitamina D;vitamin D
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E;vitamin E alpha-tocopherol equiv from E vitamer activities
ácido graso 12:0 (láurico);fatty acid 12:0 (lauric acid)
ácido graso 14:0 (ácido mirístico);fatty acid 14:0 (myristic acid)
ácido graso 16:0 (ácido palmítico);fatty acid 16:0 (palmitic acid)
ácido graso 18:0 (ácido esteárico);fatty acid 18:0 (stearic acid)
ácido graso 18:1 n-9 cis (ácido oléico);fatty acid 18:1 n-9 cis (oleic acid)
ácido graso 18:2;fatty acid 18:2
ácido graso 18:3;fatty acid 18:3
ácido graso 20:4 n-6  (ácido araquidónico);fatty acid 20:4 n-6 (arachidonic acid)
ácido graso 20:5 (ácido eicosapentaenóico);fatty acid 20:5 (eicopentaenoic acid)
ácido graso 22:6 n-3 (ácido docosahexaenóico);fatty acid 22:6 n-3 (docosahexaenoic acid)
ácidos grasos, monoinsaturados totales;fatty acids, total monounsaturated
ácidos grasos, poliinsaturados totales;fatty acids, total polyunsaturated
ácidos grasos saturados totales;fatty acids, total saturated
ácidos grasos, trans totales;fatty acids, total trans
fibra, dietetica total;fibre, total dietary
calcio;calcium
hierro, total;iron, total
potasio;potassium
magnesio;magnesium
sodio;sodium
fósforo;phosphorus
alcohol (etanol);alcohol (ethanol)
energía, total;energy, total metabolisable calculated from energy-producing food components
grasa, total (lipidos totales);fat, total (total lipid)
proteina, total;protein, total
agua (humedad);water (moisture)
almidón, total;starch, total
colesterol;cholesterol
azucares, totales;sugars, total
cobre;copper
ioduro;iodide
selenio, total;selenium, total
zinc (cinc);zinc
biotina;biotin
folato, total;folate, total
equivalentes de niacina, totales;niacin equivalents, total
ácido pantoténico (vitamina B5);pantothenic acid (vitamin B5)
riboflavina;riboflavin
tiamina;thiamin
Vitamina B-12;vitamin B-12
Vitamina B-6, Total;vitamin B-6, total
Vitamina C (ácido ascórbico);vitamin C (ascorbic acid)
