Voedingsstofgroep,Component group,Nutrient-code,Voedingsstof,Component,Eenheid/Unit,Automatic_mapping
Energie en macronutriënten,Energy and macronutrients,ENERCJ, Energie kJ, Energy kJ ,kJ,
Energie en macronutriënten,Energy and macronutrients,ENERCC, Energie kcal , Energy kcal ,kcal,
Energie en macronutriënten,Energy and macronutrients,WATER, Water totaal, Water total,g,http://purl.obolibrary.org/obo/FOODON_00002340
Energie en macronutriënten,Energy and macronutrients,PROT, Eiwit totaal, Protein total,g,http://purl.obolibrary.org/obo/CHEBI_36080
Energie en macronutriënten,Energy and macronutrients,FAT, Vet totaal, Fat total,g,http://purl.obolibrary.org/obo/FOODON_00003265
Energie en macronutriënten,Energy and macronutrients,CHO, Koolhydraten beschikbaar, Carbohydrate available,g,http://purl.obolibrary.org/obo/CHEBI_16646
Energie en macronutriënten,Energy and macronutrients,FIBT, Voedingsvezel totaal, Fibre dietary total,g,http://purl.obolibrary.org/obo/FOODON_03401328
Energie en macronutriënten,Energy and macronutrients,ALC, Alcohol totaal, Alcohol total,g,http://purl.obolibrary.org/obo/CHEBI_30879
Energie en macronutriënten,Energy and macronutrients,OA, Organische zuren totaal, Organic acids total,g,http://purl.obolibrary.org/obo/CHEBI_64709
Energie en macronutriënten,Energy and macronutrients,ASH, As, Ash,g,http://purl.obolibrary.org/obo/ENVO_02000090
Eiwitten,Protein,PROT, Eiwit totaal, Protein total,g,http://purl.obolibrary.org/obo/CHEBI_36080
Eiwit totaal,protein total,PROTPL, Eiwit plantaardig, Protein plant,g,http://purl.obolibrary.org/obo/CHEBI_36080
Eiwit totaal,protein total,PROTAN, Eiwit dierlijk, Protein animal,g,http://purl.obolibrary.org/obo/CHEBI_36080
Eiwitten,Protein,NT, Stikstof totaal, Nitrogen total,g,http://purl.obolibrary.org/obo/CHEBI_25555
Koolhydraten,Carbohydrates,CHO, Koolhydraten beschikbaar, Carbohydrate available,g,http://purl.obolibrary.org/obo/CHEBI_16646
Koolhydraten beschikbaar,Carbohydrates available,SUGAR, Mono en disachariden totaal, Sugars total,g,
Koolhydraten beschikbaar,Carbohydrates available,STARCH, Polysachariden totaal, Starch total,g,http://purl.obolibrary.org/obo/CHEBI_28017
Koolhydraten beschikbaar,Carbohydrates available,POLYL, Polyolen totaal, Polyols total,g,http://purl.obolibrary.org/obo/CHEBI_26191
Koolhydraten,Carbohydrates,FIBT, Voedingsvezel totaal, Fibre dietary total,g,http://purl.obolibrary.org/obo/FOODON_03401328
Vet en vetzuurclusters,Fat and fatty acid clusters,FAT, Vet totaal, Fat total,g,http://purl.obolibrary.org/obo/FOODON_00003265
Vetzuurclusters,Fatty acid clusters,FACID, Vetzuren totaal, Fatty acids total,g,http://purl.obolibrary.org/obo/CHEBI_35366
Vetzuurclusters,Fatty acid clusters,FASAT, Vetzuren verzadigd totaal, Fatty acids saturated total,g,http://purl.obolibrary.org/obo/CHEBI_35366
Verzadigde vetzuren,Saturated fatty acids,F4:0, C4:0, C4:0  ,g,
Verzadigde vetzuren,Saturated fatty acids,F6:0, C6:0, C6:0 ,g,
Verzadigde vetzuren,Saturated fatty acids,F8:0, C8:0, C8:0 ,g,http://purl.obolibrary.org/obo/CHEBI_28837
Verzadigde vetzuren,Saturated fatty acids,F10:0, C10:0, C10:0 ,g,
Verzadigde vetzuren,Saturated fatty acids,F11:0, C11:0, C11:0,g,
Verzadigde vetzuren,Saturated fatty acids,F12:0, C12:0, C12:0  ,g,http://purl.obolibrary.org/obo/CHEBI_30805
Verzadigde vetzuren,Saturated fatty acids,F13:0, C13:0, C13:0  ,g,
Verzadigde vetzuren,Saturated fatty acids,F14:0, C14:0, C14:0  ,g,http://purl.obolibrary.org/obo/CHEBI_28875
Verzadigde vetzuren,Saturated fatty acids,F15:0, C15:0, C15:0  ,g,http://purl.obolibrary.org/obo/CHEBI_42504
Verzadigde vetzuren,Saturated fatty acids,F16:0, C16:0, C16:0  ,g,http://purl.obolibrary.org/obo/CHEBI_15756
Verzadigde vetzuren,Saturated fatty acids,F17:0, C17:0, C17:0  ,g,http://purl.obolibrary.org/obo/CHEBI_32365
